City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
243,Arraial Do Cabo,BR,2021-06-06 06:23:46,-22.9661,-42.0278,72.46,87,0,20.15,clear sky
244,Kayankulam,IN,2021-06-06 06:23:46,9.1833,76.5,84.11,69,97,3.56,overcast clouds
245,Korla,CN,2021-06-06 06:23:47,41.7597,86.1469,85.33,22,48,8.55,scattered clouds
246,Hami,CN,2021-06-06 06:23:47,42.8,93.45,81.45,20,90,14.74,overcast clouds
247,San Patricio,US,2021-06-06 06:23:47,28.017,-97.5169,80.49,89,0,7.92,clear sky
248,Bom Jesus,BR,2021-06-06 06:23:48,-9.0744,-44.3586,66.43,67,28,1.99,scattered clouds
249,Enderby,GB,2021-06-06 06:23:48,52.5878,-1.2062,60.66,95,100,3.33,overcast clouds
250,Saint-Pierre,RE,2021-06-06 06:21:11,-21.3393,55.4781,79.29,77,0,6.91,light rain
251,Taoudenni,ML,2021-06-06 06:23:49,22.6783,-3.9836,94.01,19,89,18.95,overcast clouds
252,Itarema,BR,2021-06-06 06:23:49,-2.9248,-39.9167,75.49,90,0,10.16,clear sky
253,Montrose,US,2021-06-06 06:23:50,38.4166,-108.2673,71.6,37,1,10.36,clear sky
254,Ilulissat,GL,2021-06-06 06:23:50,69.2167,-51.1,39.22,81,75,9.22,broken clouds
255,Chokurdakh,RU,2021-06-06 06:23:51,70.6333,147.9167,38.39,70,100,16.08,overcast clouds
256,Sisimiut,GL,2021-06-06 06:23:52,66.9395,-53.6735,40.46,94,100,5.53,light rain
257,Morehead,US,2021-06-06 06:23:52,37.2711,-87.1764,73.11,94,40,0.0,light intensity drizzle
258,Koumac,NC,2021-06-06 06:23:53,-20.5667,164.2833,72.79,64,100,15.97,overcast clouds
259,El Ejido,ES,2021-06-06 06:23:53,36.7763,-2.8146,66.2,88,0,6.91,clear sky
260,Hella,NO,2021-06-06 06:23:54,67.2,14.4333,61.88,56,0,12.66,clear sky
